[2020-08-08T13:35:24.897+0300][3.022s][info][gc] GC(48) Pause Young (Allocation Failure) 271M->135M(494M) 0.923ms
[2020-08-08T13:35:24.921+0300][3.046s][info][gc] GC(49) Pause Young (Allocation Failure) 271M->135M(494M) 0.893ms
[2020-08-08T13:35:24.944+0300][3.070s][info][gc] GC(50) Pause Young (Allocation Failure) 271M->135M(494M) 1.200ms
[2020-08-08T13:35:24.966+0300][3.091s][info][gc] GC(51) Pause Young (Allocation Failure) 271M->135M(494M) 0.877ms
[2020-08-08T13:35:24.989+0300][3.114s][info][gc] GC(52) Pause Young (Allocation Failure) 271M->135M(494M) 1.244ms
[2020-08-08T13:35:25.009+0300][3.134s][info][gc] GC(53) Pause Young (Allocation Failure) 271M->135M(494M) 0.720ms
[2020-08-08T13:35:25.030+0300][3.156s][info][gc] GC(54) Pause Young (Allocation Failure) 271M->135M(494M) 0.614ms
[2020-08-08T13:35:25.051+0300][3.177s][info][gc] GC(55) Pause Young (Allocation Failure) 271M->135M(494M) 0.599ms
[2020-08-08T13:35:25.072+0300][3.198s][info][gc] GC(56) Pause Young (Allocation Failure) 271M->135M(494M) 0.261ms
[2020-08-08T13:35:25.094+0300][3.220s][info][gc] GC(57) Pause Young (Allocation Failure) 271M->135M(494M) 0.252ms
[2020-08-08T13:35:25.120+0300][3.245s][info][gc] GC(58) Pause Young (Allocation Failure) 271M->135M(494M) 0.357ms
[2020-08-08T13:35:25.142+0300][3.268s][info][gc] GC(59) Pause Young (Allocation Failure) 271M->135M(494M) 0.243ms
[2020-08-08T13:35:25.166+0300][3.292s][info][gc] GC(60) Pause Young (Allocation Failure) 271M->135M(494M) 0.246ms
[2020-08-08T13:35:25.191+0300][3.317s][info][gc] GC(61) Pause Young (Allocation Failure) 271M->135M(494M) 0.253ms
[2020-08-08T13:35:25.212+0300][3.338s][info][gc] GC(62) Pause Young (Allocation Failure) 271M->135M(494M) 0.251ms
[2020-08-08T13:35:25.235+0300][3.361s][info][gc] GC(63) Pause Young (Allocation Failure) 271M->135M(494M) 0.240ms
[2020-08-08T13:35:25.257+0300][3.383s][info][gc] GC(64) Pause Young (Allocation Failure) 271M->135M(494M) 0.243ms
[2020-08-08T13:35:25.278+0300][3.404s][info][gc] GC(65) Pause Young (Allocation Failure) 271M->135M(494M) 0.237ms
[2020-08-08T13:35:25.300+0300][3.425s][info][gc] GC(66) Pause Young (Allocation Failure) 271M->135M(494M) 0.249ms
[2020-08-08T13:35:25.325+0300][3.451s][info][gc] GC(67) Pause Young (Allocation Failure) 271M->135M(494M) 0.235ms
[2020-08-08T13:35:25.349+0300][3.474s][info][gc] GC(68) Pause Young (Allocation Failure) 271M->135M(494M) 0.284ms
[2020-08-08T13:35:25.374+0300][3.499s][info][gc] GC(69) Pause Young (Allocation Failure) 271M->135M(494M) 0.249ms
[2020-08-08T13:35:25.400+0300][3.526s][info][gc] GC(70) Pause Young (Allocation Failure) 271M->135M(494M) 0.320ms
[2020-08-08T13:35:25.424+0300][3.549s][info][gc] GC(71) Pause Young (Allocation Failure) 271M->135M(494M) 0.269ms
[2020-08-08T13:35:25.446+0300][3.571s][info][gc] GC(72) Pause Young (Allocation Failure) 271M->135M(494M) 0.239ms
[2020-08-08T13:35:25.466+0300][3.592s][info][gc] GC(73) Pause Young (Allocation Failure) 271M->135M(494M) 0.234ms
[2020-08-08T13:35:25.489+0300][3.615s][info][gc] GC(74) Pause Young (Allocation Failure) 271M->135M(494M) 0.237ms
[2020-08-08T13:35:25.510+0300][3.636s][info][gc] GC(75) Pause Young (Allocation Failure) 271M->135M(494M) 0.251ms
[2020-08-08T13:35:25.532+0300][3.657s][info][gc] GC(76) Pause Young (Allocation Failure) 271M->135M(494M) 0.248ms
[2020-08-08T13:35:25.561+0300][3.686s][info][gc] GC(77) Pause Young (Allocation Failure) 271M->135M(494M) 0.247ms
[2020-08-08T13:35:25.590+0300][3.716s][info][gc] GC(78) Pause Young (Allocation Failure) 271M->135M(494M) 0.238ms
